comment	use	date	url	sraid	rep	runtype	readlength	SRA_ReadClass	experiment	species	assembly	cell	GEO_Sample	GEO_Series	lab	platform
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211622/SRR636882/SRR636882.sra	SRR636882	2	pe	51	"application read"	sscliver	ssc	susScr2	liver	GSM1055032	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211668/SRR636928/SRR636928.sra	SRR636928	1	pe	51	"application read"	ssckidney	ssc	susScr2	kidney	GSM1055078	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211669/SRR636929/SRR636929.sra	SRR636929	2	pe	51	"application read"	ssckidney	ssc	susScr2	kidney	GSM1055079	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211608/SRR636868/SRR636868.sra	SRR636868	1	pe	51	"application read"	mmuliver	mmu	mm9	liver	GSM1055018	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211609/SRR636869/SRR636869.sra	SRR636869	2	pe	51	"application read"	mmuliver	mmu	mm9	liver	GSM1055019	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211610/SRR636870/SRR636870.sra	SRR636870	3	pe	51	"application read"	mmuliver	mmu	mm9	liver	GSM1055020	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211656/SRR636916/SRR636916.sra	SRR636916	1	pe	51	"application read"	mmukidney	mmu	mm9	kidney	GSM1055066	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211657/SRR636917/SRR636917.sra	SRR636917	2	pe	51	"application read"	mmukidney	mmu	mm9	kidney	GSM1055067	GSE43013	EWHA	GAIIx
na	1	2016/07/06	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX211/SRX211658/SRR636918/SRR636918.sra	SRR636918	3	pe	51	"application read"	mmukidney	mmu	mm9	kidney	GSM1055068	GSE43013	EWHA	GAIIx
DBA/J2	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196267/SRR594396/SRR594396.sra	SRR594396	1	pe	50	"application read"	mmukidney	mmu	mm9	kidney	GSM1020643	GSE41637	MIT	HiS2000
C57BL/6	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196275/SRR594404/SRR594404.sra	SRR594404	2	pe	50	"application read"	mmukidney	mmu	mm9	kidney	GSM1020651	GSE41637	MIT	HiS2000
CD1	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196284/SRR594413/SRR594413.sra	SRR594413	3	pe	50	"application read"	mmukidney	mmu	mm9	kidney	GSM1020660	GSE41637	MIT	GAIIx
DBA/J2	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196268/SRR594397/SRR594397.sra	SRR594397	1	pe	50	"application read"	mmuliver	mmu	mm9	liver	GSM1020644	GSE41637	MIT	HiS2000
C57BL/1	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196276/SRR594405/SRR594405.sra	SRR594405	2	pe	50	"application read"	mmuliver	mmu	mm9	liver	GSM1020652	GSE41637	MIT	HiS2000
CD1	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196285/SRR594414/SRR594414.sra	SRR594414	3	pe	50	"application read"	mmuliver	mmu	mm9	liver	GSM1020661	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196347/SRR594476/SRR594476.sra	SRR594476	1	pe	50	"application read"	btakidney	bta	bosTau7	kidney	GSM1020723	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196356/SRR594485/SRR594485.sra	SRR594485	2	pe	50	"application read"	btakidney	bta	bosTau7	kidney	GSM1020732	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196365/SRR594494/SRR594494.sra	SRR594494	3	pe	50	"application read"	btakidney	bta	bosTau7	kidney	GSM1020741	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196348/SRR594477/SRR594477.sra	SRR594477	1	pe	50	"application read"	btaliver	bta	bosTau7	liver	GSM1020724	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196357/SRR594486/SRR594486.sra	SRR594486	2	pe	50	"application read"	btaliver	bta	bosTau7	liver	GSM1020733	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196366/SRR594495/SRR594495.sra	SRR594495	3	pe	50	"application read"	btaliver	bta	bosTau7	liver	GSM1020742	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196374/SRR594503/SRR594503.sra	SRR594503	1	pe	50	"application read"	ggakidney	gga	galGal3	kidney	GSM1020750	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196383/SRR594512/SRR594512.sra	SRR594512	2	pe	50	"application read"	ggakidney	gga	galGal3	kidney	GSM1020759	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196392/SRR594521/SRR594521.sra	SRR594521	3	pe	50	"application read"	ggakidney	gga	galGal3	kidney	GSM1020768	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196375/SRR594504/SRR594504.sra	SRR594504	1	pe	50	"application read"	ggaliver	gga	galGal3	liver	GSM1020751	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196384/SRR594513/SRR594513.sra	SRR594513	2	pe	50	"application read"	ggaliver	gga	galGal3	liver	GSM1020760	GSE41637	MIT	HiS2000
na	1	2017/03/17	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByExp/sra/SRX/SRX196/SRX196393/SRR594522/SRR594522.sra	SRR594522	3	pe	50	"application read"	ggaliver	gga	galGal3	liver	GSM1020769	GSE41637	MIT	HiS2000
