File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biosample Age	Biological replicate(s)	Technical replicate	Read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	File download URL	Assembly	Platform
ENCFF472YPV	bigWig	plus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF176HWN	145310507	ENCODE Processing Pipeline	3ababb24cd8388996e21556e90e54535	https://www.encodeproject.org/files/ENCFF472YPV/@@download/ENCFF472YPV.bigWig	hg19	
ENCFF305VZQ	bigWig	minus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF526RJH	176363049	ENCODE Processing Pipeline	7fdd2f38744f8efbdfc2a490b4ca8875	https://www.encodeproject.org/files/ENCFF305VZQ/@@download/ENCFF305VZQ.bigWig	hg19	
ENCFF586GTY	bigWig	minus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF526RJH	190489370	ENCODE Processing Pipeline	06d30bb859ca23a8c6a16d11ae5265f1	https://www.encodeproject.org/files/ENCFF586GTY/@@download/ENCFF586GTY.bigWig	hg19	
ENCFF941VGM	bigWig	plus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF526RJH	180795532	ENCODE Processing Pipeline	175c167d69b44df3ee8512c7be0b0323	https://www.encodeproject.org/files/ENCFF941VGM/@@download/ENCFF941VGM.bigWig	hg19	
ENCFF951QKW	bigWig	plus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF526RJH	193299011	ENCODE Processing Pipeline	ce2510900b381cb435c6c0a5b4d0d613	https://www.encodeproject.org/files/ENCFF951QKW/@@download/ENCFF951QKW.bigWig	hg19	
ENCFF324NQD	bigWig	minus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF176HWN	143472222	ENCODE Processing Pipeline	c1eec486e0646c3bca5233453d5c6e99	https://www.encodeproject.org/files/ENCFF324NQD/@@download/ENCFF324NQD.bigWig	hg19	
ENCFF252UVL	bigWig	minus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF237VXT	133845077	ENCODE Processing Pipeline	27e267000e6de05466219871353693e9	https://www.encodeproject.org/files/ENCFF252UVL/@@download/ENCFF252UVL.bigWig	GRCh38	
ENCFF415KTI	bigWig	plus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF237VXT	136403160	ENCODE Processing Pipeline	c83ff3f6b1c0eeb3bd57d1f3361392a6	https://www.encodeproject.org/files/ENCFF415KTI/@@download/ENCFF415KTI.bigWig	GRCh38	
ENCFF694NGQ	bigWig	plus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF237VXT	146273763	ENCODE Processing Pipeline	a7df6e42b166a27b7104318144639298	https://www.encodeproject.org/files/ENCFF694NGQ/@@download/ENCFF694NGQ.bigWig	GRCh38	
ENCFF079RTR	bigWig	minus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF237VXT	144547497	ENCODE Processing Pipeline	cc017eeee27f2597c017fee81cc92d02	https://www.encodeproject.org/files/ENCFF079RTR/@@download/ENCFF079RTR.bigWig	GRCh38	
ENCFF957JSI	bigWig	minus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF393DXQ	176827351	ENCODE Processing Pipeline	32a509aa584ab16801519238698b852d	https://www.encodeproject.org/files/ENCFF957JSI/@@download/ENCFF957JSI.bigWig	GRCh38	
ENCFF576SQY	bigWig	plus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF393DXQ	193336514	ENCODE Processing Pipeline	7ea40026a65c7c78e2790ffa9c1076aa	https://www.encodeproject.org/files/ENCFF576SQY/@@download/ENCFF576SQY.bigWig	GRCh38	
ENCFF340BCY	bigWig	plus strand signal of unique reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF393DXQ	180696184	ENCODE Processing Pipeline	753010c514ea6a45195e04ec17d826f4	https://www.encodeproject.org/files/ENCFF340BCY/@@download/ENCFF340BCY.bigWig	GRCh38	
ENCFF215SDA	bigWig	minus strand signal of all reads	ENCSR067UNX	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF393DXQ	190701573	ENCODE Processing Pipeline	99a38af2f5dd7418ab1e4af76173ef8f	https://www.encodeproject.org/files/ENCFF215SDA/@@download/ENCFF215SDA.bigWig	GRCh38	
ENCFF782XZM	bigWig	minus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF574SVN	100184320	ENCODE Processing Pipeline	fe240e660669aedc180eca6f048fa1de	https://www.encodeproject.org/files/ENCFF782XZM/@@download/ENCFF782XZM.bigWig	hg19	
ENCFF585WLX	bigWig	plus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF574SVN	103050312	ENCODE Processing Pipeline	748250fa51005ea8c841b6dcfc3b9a60	https://www.encodeproject.org/files/ENCFF585WLX/@@download/ENCFF585WLX.bigWig	hg19	
ENCFF481THA	bigWig	minus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF574SVN	105090818	ENCODE Processing Pipeline	d38a161b6c5cbf154078ddaf008adbb8	https://www.encodeproject.org/files/ENCFF481THA/@@download/ENCFF481THA.bigWig	hg19	
ENCFF204ZNR	bigWig	plus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF574SVN	107715706	ENCODE Processing Pipeline	69cf776d671fd9ff7af99b858fe224d9	https://www.encodeproject.org/files/ENCFF204ZNR/@@download/ENCFF204ZNR.bigWig	hg19	
ENCFF053RUP	bigWig	minus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF973HWK	120542696	ENCODE Processing Pipeline	838d57d92de98cbb5d3fea13069411ea	https://www.encodeproject.org/files/ENCFF053RUP/@@download/ENCFF053RUP.bigWig	hg19	
ENCFF620FBZ	bigWig	plus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF973HWK	130745436	ENCODE Processing Pipeline	db29ca3a72e33ad288ebb6f327120f5d	https://www.encodeproject.org/files/ENCFF620FBZ/@@download/ENCFF620FBZ.bigWig	hg19	
ENCFF838UJY	bigWig	plus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF973HWK	124042361	ENCODE Processing Pipeline	45beb1b670817a2cc1e755a6eb686fa7	https://www.encodeproject.org/files/ENCFF838UJY/@@download/ENCFF838UJY.bigWig	hg19	
ENCFF794YCC	bigWig	minus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF973HWK	127749856	ENCODE Processing Pipeline	b597b0433d076d9463ead90c7aee819d	https://www.encodeproject.org/files/ENCFF794YCC/@@download/ENCFF794YCC.bigWig	hg19	
ENCFF942QDG	bigWig	plus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF166HWB	109321187	ENCODE Processing Pipeline	3eb61fa166c22d800f415f453ecc3313	https://www.encodeproject.org/files/ENCFF942QDG/@@download/ENCFF942QDG.bigWig	hg19	
ENCFF299CAK	bigWig	plus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF166HWB	116009305	ENCODE Processing Pipeline	fd3dddb0b30e753339042ceeecf1a656	https://www.encodeproject.org/files/ENCFF299CAK/@@download/ENCFF299CAK.bigWig	hg19	
ENCFF344JIG	bigWig	minus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF166HWB	106391248	ENCODE Processing Pipeline	24ddbdf974db1f398d95f253f05ff785	https://www.encodeproject.org/files/ENCFF344JIG/@@download/ENCFF344JIG.bigWig	hg19	
ENCFF038VLR	bigWig	minus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF166HWB	113598974	ENCODE Processing Pipeline	4db98d6806abda5217e2b0b75771f0b1	https://www.encodeproject.org/files/ENCFF038VLR/@@download/ENCFF038VLR.bigWig	hg19	
ENCFF116WSL	bigWig	plus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF569HJG	132402460	ENCODE Processing Pipeline	36e04daa11e348a7259560df7a6460fd	https://www.encodeproject.org/files/ENCFF116WSL/@@download/ENCFF116WSL.bigWig	hg19	
ENCFF902DMF	bigWig	minus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF569HJG	137739785	ENCODE Processing Pipeline	adbf741aac2e1d825f17ac98946437df	https://www.encodeproject.org/files/ENCFF902DMF/@@download/ENCFF902DMF.bigWig	hg19	
ENCFF092SZC	bigWig	minus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF569HJG	128827102	ENCODE Processing Pipeline	2763d4db3f96e2fdc2fb0720579ded9d	https://www.encodeproject.org/files/ENCFF092SZC/@@download/ENCFF092SZC.bigWig	hg19	
ENCFF683NDE	bigWig	plus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF569HJG	140638138	ENCODE Processing Pipeline	93a3c3ef5846d34f9e51f676eac58daa	https://www.encodeproject.org/files/ENCFF683NDE/@@download/ENCFF683NDE.bigWig	hg19	
ENCFF795XNA	bigWig	minus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF178SRB	106756496	ENCODE Processing Pipeline	d8b6a044cc07c1f5fa8b0bf5ee5856b2	https://www.encodeproject.org/files/ENCFF795XNA/@@download/ENCFF795XNA.bigWig	GRCh38	
ENCFF721TEK	bigWig	plus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF178SRB	116334827	ENCODE Processing Pipeline	9f94e32d93a161708a44aae3df25822a	https://www.encodeproject.org/files/ENCFF721TEK/@@download/ENCFF721TEK.bigWig	GRCh38	
ENCFF611MPH	bigWig	plus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF178SRB	109365520	ENCODE Processing Pipeline	9cdc95ffba0fb25f4e768f3177a0719d	https://www.encodeproject.org/files/ENCFF611MPH/@@download/ENCFF611MPH.bigWig	GRCh38	
ENCFF018FRD	bigWig	minus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF327QGQ	128930361	ENCODE Processing Pipeline	0923132540d5ee700d5e2a655b54868b	https://www.encodeproject.org/files/ENCFF018FRD/@@download/ENCFF018FRD.bigWig	GRCh38	
ENCFF493HCS	bigWig	minus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	1	1					ENCFF178SRB	113939925	ENCODE Processing Pipeline	6ac9c5187b18363e702f2edcdcd260b4	https://www.encodeproject.org/files/ENCFF493HCS/@@download/ENCFF493HCS.bigWig	GRCh38	
ENCFF284TZX	bigWig	plus strand signal of unique reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF327QGQ	132172969	ENCODE Processing Pipeline	657f44a4695ea9ceb708b67ce13b53f7	https://www.encodeproject.org/files/ENCFF284TZX/@@download/ENCFF284TZX.bigWig	GRCh38	
ENCFF113LVA	bigWig	minus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF327QGQ	137838186	ENCODE Processing Pipeline	6cd02eeafa429dc0ed309ae4b00d101a	https://www.encodeproject.org/files/ENCFF113LVA/@@download/ENCFF113LVA.bigWig	GRCh38	
ENCFF167VWD	bigWig	plus strand signal of all reads	ENCSR166QLP	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	Homo sapiens		cytosol					polyadenylated mRNA	rRNA	see document	see document		2015-06-17	ENCODE		see document	>200	35 year	2	1					ENCFF327QGQ	140627579	ENCODE Processing Pipeline	5eae1419cb18c83fa916c088d37637bc	https://www.encodeproject.org/files/ENCFF167VWD/@@download/ENCFF167VWD.bigWig	GRCh38	
ENCFF834VWH	bigWig	minus strand signal of unique reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	1	1					ENCFF923BRF	79392803	ENCODE Processing Pipeline	6ff122f3c15418a428cddaea69dcde6b	https://www.encodeproject.org/files/ENCFF834VWH/@@download/ENCFF834VWH.bigWig	hg19	
ENCFF983XHU	bigWig	plus strand signal of unique reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	1	1					ENCFF923BRF	79755007	ENCODE Processing Pipeline	4adb21a032da4bb0035275f52b676d6c	https://www.encodeproject.org/files/ENCFF983XHU/@@download/ENCFF983XHU.bigWig	hg19	
ENCFF638JMJ	bigWig	plus strand signal of all reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	1	1					ENCFF923BRF	84264855	ENCODE Processing Pipeline	f9e76c4ca9836b897ef0f8be0a332e77	https://www.encodeproject.org/files/ENCFF638JMJ/@@download/ENCFF638JMJ.bigWig	hg19	
ENCFF862UJU	bigWig	plus strand signal of unique reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	2	1					ENCFF715DCW	91464749	ENCODE Processing Pipeline	26ea27013d2f232700e289c7a282eb0a	https://www.encodeproject.org/files/ENCFF862UJU/@@download/ENCFF862UJU.bigWig	hg19	
ENCFF987PNE	bigWig	minus strand signal of all reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	1	1					ENCFF923BRF	84595074	ENCODE Processing Pipeline	8331fe7549b3232f3f02c9241229f5e1	https://www.encodeproject.org/files/ENCFF987PNE/@@download/ENCFF987PNE.bigWig	hg19	
ENCFF044KNU	bigWig	minus strand signal of unique reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	2	1					ENCFF715DCW	89523948	ENCODE Processing Pipeline	9bcf48a04e856f83d6d2d30729ab07c0	https://www.encodeproject.org/files/ENCFF044KNU/@@download/ENCFF044KNU.bigWig	hg19	
ENCFF655YYZ	bigWig	plus strand signal of all reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	2	1					ENCFF715DCW	97870903	ENCODE Processing Pipeline	ad86d1b5cff603b5504342bf2a2982c4	https://www.encodeproject.org/files/ENCFF655YYZ/@@download/ENCFF655YYZ.bigWig	hg19	
ENCFF098JVX	bigWig	minus strand signal of all reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	2	1					ENCFF715DCW	96718652	ENCODE Processing Pipeline	6c80c484f16cf3ea5b3b4200376e43b5	https://www.encodeproject.org/files/ENCFF098JVX/@@download/ENCFF098JVX.bigWig	hg19	
ENCFF618JVQ	bigWig	plus strand signal of unique reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	1	1					ENCFF255OPB	86304292	ENCODE Processing Pipeline	9f66a9b950288a4693c8ba183e64db89	https://www.encodeproject.org/files/ENCFF618JVQ/@@download/ENCFF618JVQ.bigWig	hg19	
ENCFF834HHI	bigWig	minus strand signal of unique reads	ENCSR255NYQ	RNA-seq	EFO:0005721	SK-N-DZ	immortalized cell line	child	female	Homo sapiens		nucleus					polyadenylated mRNA	rRNA	see document	see document		2014-12-17	ENCODE		see document	>200	2 year	2	1					ENCFF464KRZ	98076658	ENCODE Processing Pipeline	145afc411c4e749747b06e317ccd85d2	https://www.encodeproject.org/files/ENCFF834HHI/@@download/ENCFF834HHI.bigWig	hg19	
