study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_name	library_layout	library_source	experiment_title	experiment_alias	run_alias	fastq_ftp	submitted_ftp	submitted_format	sra_ftp	sample_alias	sample_title
PRJEB14054	SAMEA2080648	ERX1488971	ERR1418150	10090	Mus musculus	Illumina MiSeq	7607057	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10273_1#5	SC_RUN_10273_1#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418150/ERR1418150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418150/ERR1418150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10273_1#5.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10273_1#5.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/000/ERR1418150	DT_41-sc-2013-06-10T16:22:06Z-1645708	DT_41-sc-2013-06-10T16:22:06Z-1645708
PRJEB14054	SAMEA2078840	ERX1488972	ERR1418151	10090	Mus musculus	Illumina MiSeq	7607058	PAIRED	GENOMIC	Illumina MiSeq paired end sequencing	SC_EXP_10273_1#6	SC_RUN_10273_1#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418151/ERR1418151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418151/ERR1418151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10273_1#6.bam;ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/bam/10273_1#6.bam.bai	BAM;BAI	ftp.sra.ebi.ac.uk/vol1/err/ERR141/001/ERR1418151	DT_42-sc-2013-06-10T16:22:07Z-1645709	DT_42-sc-2013-06-10T16:22:07Z-1645709
PRJEB14054	SAMEA2163981	ERX1488973	ERR1418152	10090	Mus musculus	Illumina HiSeq 2000	7905945	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_2#2	SC_RUN_10550_2#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418152/ERR1418152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418152/ERR1418152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_2#2.cram	CRAM		DT_47-sc-2013-08-06T09:06:19Z-1676209	DT_47-sc-2013-08-06T09:06:19Z-1676209
PRJEB14054	SAMEA2163979	ERX1488974	ERR1418153	10090	Mus musculus	Illumina HiSeq 2000	7905943	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_2#6	SC_RUN_10550_2#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418153/ERR1418153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418153/ERR1418153_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_2#6.cram	CRAM		DT_45-sc-2013-08-06T09:06:15Z-1676207	DT_45-sc-2013-08-06T09:06:15Z-1676207
PRJEB14054	SAMEA2080586	ERX1488975	ERR1418154	10090	Mus musculus	Illumina HiSeq 2000	7905947	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_5#2	SC_RUN_10550_5#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418154/ERR1418154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418154/ERR1418154_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_5#2.cram	CRAM		DT_21-sc-2013-06-10T16:21:49Z-1645696	DT_21-sc-2013-06-10T16:21:49Z-1645696
PRJEB14054	SAMEA2078606	ERX1488976	ERR1418155	10090	Mus musculus	Illumina HiSeq 2000	7905948	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_5#4	SC_RUN_10550_5#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418155/ERR1418155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418155/ERR1418155_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_5#4.cram	CRAM		DT_22-sc-2013-06-10T16:21:52Z-1645697	DT_22-sc-2013-06-10T16:21:52Z-1645697
PRJEB14054	SAMEA2078608	ERX1488977	ERR1418156	10090	Mus musculus	Illumina HiSeq 2000	7905953	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_6#5	SC_RUN_10550_6#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418156/ERR1418156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418156/ERR1418156_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_6#5.cram	CRAM		DT_25-sc-2013-06-10T16:21:56Z-1645700	DT_25-sc-2013-06-10T16:21:56Z-1645700
PRJEB14054	SAMEA2078609	ERX1488978	ERR1418157	10090	Mus musculus	Illumina HiSeq 2000	7905954	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_6#6	SC_RUN_10550_6#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418157/ERR1418157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418157/ERR1418157_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_6#6.cram	CRAM		DT_26-sc-2013-06-10T16:21:57Z-1645701	DT_26-sc-2013-06-10T16:21:57Z-1645701
PRJEB14054	SAMEA2078611	ERX1488979	ERR1418158	10090	Mus musculus	Illumina HiSeq 2000	7905957	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_7#2	SC_RUN_10550_7#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418158/ERR1418158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418158/ERR1418158_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_7#2.cram	CRAM		DT_37-sc-2013-06-10T16:22:01Z-1645704	DT_37-sc-2013-06-10T16:22:01Z-1645704
PRJEB14054	SAMEA2080647	ERX1488980	ERR1418159	10090	Mus musculus	Illumina HiSeq 2000	7905958	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_7#4	SC_RUN_10550_7#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418159/ERR1418159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418159/ERR1418159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_7#4.cram	CRAM		DT_38-sc-2013-06-10T16:22:02Z-1645705	DT_38-sc-2013-06-10T16:22:02Z-1645705
PRJEB14054	SAMEA2080648	ERX1488981	ERR1418160	10090	Mus musculus	Illumina HiSeq 2000	7905961	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_8#5	SC_RUN_10550_8#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418160/ERR1418160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418160/ERR1418160_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_8#5.cram	CRAM		DT_41-sc-2013-06-10T16:22:06Z-1645708	DT_41-sc-2013-06-10T16:22:06Z-1645708
PRJEB14054	SAMEA2078840	ERX1488982	ERR1418161	10090	Mus musculus	Illumina HiSeq 2000	7905962	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10550_8#6	SC_RUN_10550_8#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418161/ERR1418161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418161/ERR1418161_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10550_8#6.cram	CRAM		DT_42-sc-2013-06-10T16:22:07Z-1645709	DT_42-sc-2013-06-10T16:22:07Z-1645709
PRJEB14054	SAMEA2163981	ERX1488983	ERR1418162	10090	Mus musculus	Illumina HiSeq 2000	7905945	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_1#2	SC_RUN_10579_1#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418162/ERR1418162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418162/ERR1418162_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_1#2.cram	CRAM		DT_47-sc-2013-08-06T09:06:19Z-1676209	DT_47-sc-2013-08-06T09:06:19Z-1676209
PRJEB14054	SAMEA2163979	ERX1488984	ERR1418163	10090	Mus musculus	Illumina HiSeq 2000	7905943	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_1#6	SC_RUN_10579_1#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418163/ERR1418163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418163/ERR1418163_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_1#6.cram	CRAM		DT_45-sc-2013-08-06T09:06:15Z-1676207	DT_45-sc-2013-08-06T09:06:15Z-1676207
PRJEB14054	SAMEA2163981	ERX1488985	ERR1418164	10090	Mus musculus	Illumina HiSeq 2000	7905945	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_2#2	SC_RUN_10579_2#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418164/ERR1418164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418164/ERR1418164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_2#2.cram	CRAM		DT_47-sc-2013-08-06T09:06:19Z-1676209	DT_47-sc-2013-08-06T09:06:19Z-1676209
PRJEB14054	SAMEA2163979	ERX1488986	ERR1418165	10090	Mus musculus	Illumina HiSeq 2000	7905943	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_2#6	SC_RUN_10579_2#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418165/ERR1418165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418165/ERR1418165_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_2#6.cram	CRAM		DT_45-sc-2013-08-06T09:06:15Z-1676207	DT_45-sc-2013-08-06T09:06:15Z-1676207
PRJEB14054	SAMEA2163981	ERX1488987	ERR1418166	10090	Mus musculus	Illumina HiSeq 2000	7905945	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_3#2	SC_RUN_10579_3#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418166/ERR1418166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418166/ERR1418166_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_3#2.cram	CRAM		DT_47-sc-2013-08-06T09:06:19Z-1676209	DT_47-sc-2013-08-06T09:06:19Z-1676209
PRJEB14054	SAMEA2163979	ERX1488988	ERR1418167	10090	Mus musculus	Illumina HiSeq 2000	7905943	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_3#6	SC_RUN_10579_3#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418167/ERR1418167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418167/ERR1418167_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_3#6.cram	CRAM		DT_45-sc-2013-08-06T09:06:15Z-1676207	DT_45-sc-2013-08-06T09:06:15Z-1676207
PRJEB14054	SAMEA2080586	ERX1488989	ERR1418168	10090	Mus musculus	Illumina HiSeq 2000	7905947	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_4#2	SC_RUN_10579_4#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418168/ERR1418168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/008/ERR1418168/ERR1418168_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_4#2.cram	CRAM		DT_21-sc-2013-06-10T16:21:49Z-1645696	DT_21-sc-2013-06-10T16:21:49Z-1645696
PRJEB14054	SAMEA2078606	ERX1488990	ERR1418169	10090	Mus musculus	Illumina HiSeq 2000	7905948	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_4#4	SC_RUN_10579_4#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418169/ERR1418169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/009/ERR1418169/ERR1418169_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_4#4.cram	CRAM		DT_22-sc-2013-06-10T16:21:52Z-1645697	DT_22-sc-2013-06-10T16:21:52Z-1645697
PRJEB14054	SAMEA2080586	ERX1488991	ERR1418170	10090	Mus musculus	Illumina HiSeq 2000	7905947	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_5#2	SC_RUN_10579_5#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418170/ERR1418170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/000/ERR1418170/ERR1418170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_5#2.cram	CRAM		DT_21-sc-2013-06-10T16:21:49Z-1645696	DT_21-sc-2013-06-10T16:21:49Z-1645696
PRJEB14054	SAMEA2078606	ERX1488992	ERR1418171	10090	Mus musculus	Illumina HiSeq 2000	7905948	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_5#4	SC_RUN_10579_5#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418171/ERR1418171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/001/ERR1418171/ERR1418171_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_5#4.cram	CRAM		DT_22-sc-2013-06-10T16:21:52Z-1645697	DT_22-sc-2013-06-10T16:21:52Z-1645697
PRJEB14054	SAMEA2080586	ERX1488993	ERR1418172	10090	Mus musculus	Illumina HiSeq 2000	7905947	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_6#2	SC_RUN_10579_6#2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418172/ERR1418172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/002/ERR1418172/ERR1418172_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_6#2.cram	CRAM		DT_21-sc-2013-06-10T16:21:49Z-1645696	DT_21-sc-2013-06-10T16:21:49Z-1645696
PRJEB14054	SAMEA2078606	ERX1488994	ERR1418173	10090	Mus musculus	Illumina HiSeq 2000	7905948	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_6#4	SC_RUN_10579_6#4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418173/ERR1418173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/003/ERR1418173/ERR1418173_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_6#4.cram	CRAM		DT_22-sc-2013-06-10T16:21:52Z-1645697	DT_22-sc-2013-06-10T16:21:52Z-1645697
PRJEB14054	SAMEA2078608	ERX1488995	ERR1418174	10090	Mus musculus	Illumina HiSeq 2000	7905953	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_7#5	SC_RUN_10579_7#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418174/ERR1418174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/004/ERR1418174/ERR1418174_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_7#5.cram	CRAM		DT_25-sc-2013-06-10T16:21:56Z-1645700	DT_25-sc-2013-06-10T16:21:56Z-1645700
PRJEB14054	SAMEA2078609	ERX1488996	ERR1418175	10090	Mus musculus	Illumina HiSeq 2000	7905954	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_7#6	SC_RUN_10579_7#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418175/ERR1418175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/005/ERR1418175/ERR1418175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_7#6.cram	CRAM		DT_26-sc-2013-06-10T16:21:57Z-1645701	DT_26-sc-2013-06-10T16:21:57Z-1645701
PRJEB14054	SAMEA2078608	ERX1488997	ERR1418176	10090	Mus musculus	Illumina HiSeq 2000	7905953	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_8#5	SC_RUN_10579_8#5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418176/ERR1418176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/006/ERR1418176/ERR1418176_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_8#5.cram	CRAM		DT_25-sc-2013-06-10T16:21:56Z-1645700	DT_25-sc-2013-06-10T16:21:56Z-1645700
PRJEB14054	SAMEA2078609	ERX1488998	ERR1418177	10090	Mus musculus	Illumina HiSeq 2000	7905954	PAIRED	GENOMIC	Illumina HiSeq 2000 paired end sequencing	SC_EXP_10579_8#6	SC_RUN_10579_8#6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418177/ERR1418177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR141/007/ERR1418177/ERR1418177_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA625/ERA625265/cram/10579_8#6.cram	CRAM		DT_26-sc-2013-06-10T16:21:57Z-1645701	DT_26-sc-2013-06-10T16:21:57Z-1645701
